audio,ground_truth,prediction,wer,substitutions,deletions,insertions,hits,alignment
common_voice_vi_23933072.mp3,Là anh đây chỉ thăm hỏi đôi lời,Lãn đây chỉ tham hội đôi lời.,0.5,3,1,0,4,"[{'type': 'substitute', 'reference': 'là', 'hypothesis': 'lãn'}, {'type': 'delete', 'reference': 'anh', 'hypothesis': ''}, {'type': 'equal', 'reference': 'đây chỉ', 'hypothesis': 'đây chỉ'}, {'type': 'substitute', 'reference': 'thăm hỏi', 'hypothesis': 'tham hội'}, {'type': 'equal', 'reference': 'đôi lời', 'hypothesis': 'đôi lời'}]"
common_voice_vi_24304490.mp3,Giai đoạn lãnh đạo,Giay đoạn lánh đạo.,0.5,2,0,0,2,"[{'type': 'substitute', 'reference': 'giai', 'hypothesis': 'giay'}, {'type': 'equal', 'reference': 'đoạn', 'hypothesis': 'đoạn'}, {'type': 'substitute', 'reference': 'lãnh', 'hypothesis': 'lánh'}, {'type': 'equal', 'reference': 'đạo', 'hypothesis': 'đạo'}]"
common_voice_vi_24144207.mp3,Cao đến ngực người trưởng thành,Cào đến ngực người chữa thân.,0.5,3,0,0,3,"[{'type': 'substitute', 'reference': 'cao', 'hypothesis': 'cào'}, {'type': 'equal', 'reference': 'đến ngực người', 'hypothesis': 'đến ngực người'}, {'type': 'substitute', 'reference': 'trưởng thành', 'hypothesis': 'chữa thân'}]"
common_voice_vi_40249427.mp3,Tự nhiên không đâu vào đâu lại sang nói chuyện này,Tự nhiên không đâu vào đâu lại xe nói chuyện này.,0.09090909090909091,1,0,0,10,"[{'type': 'equal', 'reference': 'tự nhiên không đâu vào đâu lại', 'hypothesis': 'tự nhiên không đâu vào đâu lại'}, {'type': 'substitute', 'reference': 'sang', 'hypothesis': 'xe'}, {'type': 'equal', 'reference': 'nói chuyện này', 'hypothesis': 'nói chuyện này'}]"
common_voice_vi_24363084.mp3,Nó lại khỏe mạnh trở lại,Nó lại quay mạnh chờ lại.,0.3333333333333333,2,0,0,4,"[{'type': 'equal', 'reference': 'nó lại', 'hypothesis': 'nó lại'}, {'type': 'substitute', 'reference': 'khỏe', 'hypothesis': 'quay'}, {'type': 'equal', 'reference': 'mạnh', 'hypothesis': 'mạnh'}, {'type': 'substitute', 'reference': 'trở', 'hypothesis': 'chờ'}, {'type': 'equal', 'reference': 'lại', 'hypothesis': 'lại'}]"
common_voice_vi_25158138.mp3,Nơi cậu đã nằm đêm qua,Nơi cậu đã nằm đêm qua,0.0,0,0,0,6,"[{'type': 'equal', 'reference': 'nơi cậu đã nằm đêm qua', 'hypothesis': 'nơi cậu đã nằm đêm qua'}]"
common_voice_vi_24362884.mp3,Thì bà ấy cũng không nói lời nào và ra đi như vậy,thì bởi cũng không nói lời nào và ra đi như vậy.,0.15384615384615385,1,1,0,11,"[{'type': 'equal', 'reference': 'thì', 'hypothesis': 'thì'}, {'type': 'substitute', 'reference': 'bà', 'hypothesis': 'bởi'}, {'type': 'delete', 'reference': 'ấy', 'hypothesis': ''}, {'type': 'equal', 'reference': 'cũng không nói lời nào và ra đi như vậy', 'hypothesis': 'cũng không nói lời nào và ra đi như vậy'}]"
common_voice_vi_23901409.mp3,Không Tao không muốn,Không tạo khùng muống.,0.75,3,0,0,1,"[{'type': 'equal', 'reference': 'không', 'hypothesis': 'không'}, {'type': 'substitute', 'reference': 'tao không muốn', 'hypothesis': 'tạo khùng muống'}]"
common_voice_vi_23380408.mp3,Thấy ánh mặt trời,Thấy anh mặc trời.,0.5,2,0,0,2,"[{'type': 'equal', 'reference': 'thấy', 'hypothesis': 'thấy'}, {'type': 'substitute', 'reference': 'ánh mặt', 'hypothesis': 'anh mặc'}, {'type': 'equal', 'reference': 'trời', 'hypothesis': 'trời'}]"
common_voice_vi_42788758.mp3,Cây cỏ tỉnh táo,Cây cò tình tạo,0.75,3,0,0,1,"[{'type': 'equal', 'reference': 'cây', 'hypothesis': 'cây'}, {'type': 'substitute', 'reference': 'cỏ tỉnh táo', 'hypothesis': 'cò tình tạo'}]"
