audio,text
common_voice_vi_24274642.mp3,Mưa rơi lộp bộp
common_voice_vi_24304484.mp3,Mới làm lễ kiệu vong lên được
common_voice_vi_23926782.mp3,Dạ Cháu không có ý đó cháu chỉ là
common_voice_vi_42788249.mp3,Với cái thứ ánh sáng yếu ớt của cây đèn dầu
common_voice_vi_24226656.mp3,Thì Trinh đã hạ quyết tâm phải có bằng được một Kumanthong chính hiệu
common_voice_vi_23406207.mp3,Tiếng chuông đồng hồ quả lắc Vang lên
common_voice_vi_22402461.mp3,Nếu thật thế thì tội nghiệp con bé lắm
common_voice_vi_24121452.mp3,Có thể lúc anh chở cô ấy đi đường
common_voice_vi_24172449.mp3,Như vậy thì cũng có thể coi đó là điều đáng mừng
common_voice_vi_23930691.mp3,Cái miệng nó đang nhe ra cười đỏ lòm
common_voice_vi_24125759.mp3,Ý mày là kìa á
common_voice_vi_40191838.mp3,Sau tiếng sấm trời bắt đầu đổ mưa rào rào
common_voice_vi_43369690.mp3,Người hay ăn to nói nậy mà sợ đàn bà như cọp
common_voice_vi_42788679.mp3,Cái Thảo nó đi rồi
common_voice_vi_23901531.mp3,"mất đầu, mất tay"
common_voice_vi_24012741.mp3,Suốt ngày bà ủ rũ bơ đi ra đi vào
common_voice_vi_25132582.mp3,Đã hơn mười một giờ đêm
common_voice_vi_23926773.mp3,Nhưng mà dường như càng cố lại không thể nghe được
common_voice_vi_24304478.mp3,Trinh không tin vào mắt của mình
common_voice_vi_24425764.mp3,Khuôn mặt thơ ngây
common_voice_vi_41912736.mp3,Không giấu gì ông
common_voice_vi_24122487.mp3,Có tích mới dịch ra tuồng: mọi chuyện đều có nguyên nhân
common_voice_vi_38023051.mp3,để cho em học
common_voice_vi_25092442.mp3,một trong những người đặt nền móng và lãnh đạo
common_voice_vi_24227689.mp3,Có cái vụ ông này đánh em
common_voice_vi_24388631.mp3,Tóc mẹ thêm màu
common_voice_vi_25092450.mp3,quả nhiên trúng tuyển vào trường Quốc Lập
common_voice_vi_42788402.mp3,Cánh cửa phòng mở ra
common_voice_vi_24121649.mp3,Miệng dẻo nhưng vẫn có chút gì đó thật thà
common_voice_vi_23989279.mp3,Anh chị thông cảm cho trẻ con nó dại dột ăn nói linh tinh
common_voice_vi_23930606.mp3,Mà mình trả lời
common_voice_vi_23848879.mp3,Xem thêm
common_voice_vi_23901117.mp3,quả nhiên trúng tuyển vào trường Quốc Lập
common_voice_vi_25132228.mp3,Đúng là chúng ta đã đi xem thầy rồi
common_voice_vi_24280801.mp3,thanh ơi mau dậy đi
common_voice_vi_24162234.mp3,cũng như em dấu những điều quá thực...
common_voice_vi_26424932.mp3,Bạn là một hồn ma giúp người chứ không hại người
common_voice_vi_24388779.mp3,cũng như kể từ ngày nuôi
common_voice_vi_24362964.mp3,con chào ba má
common_voice_vi_24174124.mp3,thế xe của mày để đâu
common_voice_vi_23926914.mp3,nó chính là người khiến cho anh mất tất cả
common_voice_vi_24363015.mp3,Bất chợt anh ta ngồi bật dậy và lên tiếng
common_voice_vi_24121759.mp3,Không hiểu Trinh đang nói chuyện với ai
common_voice_vi_23925146.mp3,Tao sợ quá nên là hét toáng lên
common_voice_vi_24227403.mp3,Anh vừa chợt nghe văng vẳng bên tai cái thứ gì đó phát ra
common_voice_vi_24122296.mp3,Bố ở lại viện để mẹ về tìm cho nhanh
common_voice_vi_24470389.mp3,Mẹ em rất hiền
common_voice_vi_24144150.mp3,Cũng là để cho kumanthong có một nơi ở mới đầy đủ hơn
common_voice_vi_24227594.mp3,"Bay, đậu bờ rào"
common_voice_vi_24363062.mp3,Bật ngay dậy rồi bước nhanh vào trong nhà
common_voice_vi_22402601.mp3,tiếc là cái chân của em không nhấc lên được
common_voice_vi_24173298.mp3,Nên mọi người đành ra về
common_voice_vi_23988883.mp3,Được nghe mẹ kể
common_voice_vi_25177553.mp3,Mẹ có việc muốn nhờ con giúp đỡ đây
common_voice_vi_25226478.mp3,em phải học hành
common_voice_vi_24226438.mp3,Là bóng rợp trên con đường nắng lửa
common_voice_vi_24476316.mp3,Nếu biết rằng sẽ chẳng gặp lại nhau
common_voice_vi_23932904.mp3,Vậy mà lạ lùng thay
common_voice_vi_24152483.mp3,Mất chân
common_voice_vi_27640436.mp3,Tháng mười là tháng mười ơi
common_voice_vi_23901544.mp3,Có người còn chẳng biết là có sống được không
common_voice_vi_48997293.mp3,Tánh hay nói xóc óc làm người ta giận
common_voice_vi_24467814.mp3,Cuối cùng trong quân vẫn chỉ có hình bóng của người vợ đã khuất
common_voice_vi_25177652.mp3,Chẳng hiểu Có ai đang hút hay không
common_voice_vi_23925073.mp3,Thời kỳ ở Thái Lan
common_voice_vi_25950341.mp3,Tay gối đầu anh nghĩ chuyện vẩn vơ
common_voice_vi_42758757.mp3,Bây giờ con lớn đi xa
common_voice_vi_23988431.mp3,Người mẹ của ta
common_voice_vi_24280795.mp3,Chú sửa xe liền nói
common_voice_vi_42788756.mp3,Xin nhận lời con
common_voice_vi_23988671.mp3,tạm biệt em
common_voice_vi_23745302.mp3,Sáng hôm sau cả đoàn thức dậy
common_voice_vi_24142108.mp3,Nãy giờ Trinh cứ như đang nói chuyện với ai đó
common_voice_vi_23392938.mp3,Mẹ ầu mẹ ơi...
common_voice_vi_40249414.mp3,Lay phay mưa bụi thầm thì chữ yêu
common_voice_vi_24121612.mp3,Sữa nhang nến thơm
common_voice_vi_27639950.mp3,Cho khắc khoải thêm những tháng ngày vui
common_voice_vi_24425823.mp3,Tôi vạn lần tạ lỗi và chấp nhận bị trừng phạt
common_voice_vi_24331682.mp3,Nhắc đến nhi khiến cho Trinh cảm rùng mình
common_voice_vi_28540888.mp3,Tháng mười êm dịu mong chờ bình an.
common_voice_vi_42788223.mp3,lau mặt cho thầy
common_voice_vi_24396575.mp3,Hà ni vừa nhìn ra bên ngoài thì ngạc nhiên
common_voice_vi_24425751.mp3,Ngọc Lan là vợ chưa cưới của anh phải không
common_voice_vi_25260723.mp3,Bà nội của Thảo cũng mắng bố thảo
common_voice_vi_24162818.mp3,Tai vách mạch rừng.
common_voice_vi_24227376.mp3,mẹ thảo liền nói
common_voice_vi_25723528.mp3,Thoảng thơ từng búi tóc dài
common_voice_vi_24396612.mp3,Gánh hết cuộc đời thời gian chữa lành không???
common_voice_vi_42788361.mp3,Dạo này tôi cũng bận nên là không sang nhà thăm được
common_voice_vi_23930772.mp3,ưa Nhìn của một anh chàng thành thị
common_voice_vi_42788759.mp3,Ánh Mắt Của trinh nhìn quân đầy gợi tình
common_voice_vi_25177285.mp3,Ươm mầm xanh đón đợi xuân hường
common_voice_vi_24297980.mp3,Mọi người cũng bán tín bán Nghi
common_voice_vi_24425866.mp3,Nhưng sau đó một thời gian
common_voice_vi_23988496.mp3,tao tại tao không biết
common_voice_vi_42788871.mp3,Gọi tôi là dã quỳ
common_voice_vi_23932900.mp3,Đầu em nghĩ rằng chỉ hét to lên để kêu cứu
common_voice_vi_25265345.mp3,Nhưng con chỉ khóc
common_voice_vi_27701223.mp3,Tháng mười về con nắng bớt vàng ươm
common_voice_vi_23078658.mp3,Anh chị chào mào
common_voice_vi_31250008.mp3,Tỏ ra rành rẽ sự việc anh ta nói thêm
common_voice_vi_23676736.mp3,Lời mẹ khuyên lơn
common_voice_vi_40191826.mp3,Mùa đông về sương rơi lạnh cóng.
common_voice_vi_25132690.mp3,Việc tôi nằm trên giường là do cô mà
common_voice_vi_23901119.mp3,nghe Mẹ Thảo nói bố thảo đi làm trưa mới về
common_voice_vi_24142085.mp3,"Rạng rỡ cười, vẫn khát một bờ vai"
common_voice_vi_24425897.mp3,Có chuyện gì cô cứ hỏi để tôi xem
common_voice_vi_24455846.mp3,Thay vào đó thời gian sau đám ma của Nhi
common_voice_vi_42788446.mp3,Hãy nên hòa giải sống ngay hết lòng
common_voice_vi_24173134.mp3,Mà nhắn tin qua Facebook thì mới biết cũng không có kịp
common_voice_vi_23926694.mp3,Dòng tin nhắn...cám ơn tình dương thế...!
common_voice_vi_24280767.mp3,Hơi lạnh qua bàn tay
common_voice_vi_24425683.mp3,mẹ thảo thoạt đầu nhìn thấy mấy người chúng em thì hơi ngạc nhiên
common_voice_vi_25154488.mp3,Gia đình và cuộc sống cá nhân
common_voice_vi_24124114.mp3,Chinh sung sướng rồi bắt máy
common_voice_vi_31450089.mp3,mẹ thảo thoạt đầu nhìn thấy mấy người chúng em thì hơi ngạc nhiên
common_voice_vi_23667732.mp3,Bằng mọi giá anh phải là của em
common_voice_vi_24122200.mp3,Ba ngày kể từ hôm xảy ra tai nạn
common_voice_vi_24174019.mp3,Được thôi mấy cô cậu cứ tự nhiên
common_voice_vi_24174157.mp3,Anh về đây em vào trong nhà đi
common_voice_vi_21833278.mp3,Cô cười thật tươi
common_voice_vi_22402616.mp3,Sao sao à ừ tớ thấy trong người không được khỏe
common_voice_vi_24358644.mp3,Khiến cho Trinh nổi cả da gà
common_voice_vi_24226414.mp3,thầy bảo có người che mắt thầy không có nhìn được
common_voice_vi_24121656.mp3,Thôi chết rồi cũng đã muộn rồi à giờ em phải về ngay
common_voice_vi_22714940.mp3,Chợt mưa cái ào
common_voice_vi_24358822.mp3,Không có ác mộng gì đâu
common_voice_vi_24274645.mp3,Các câu nói được ghi lại
common_voice_vi_42788771.mp3,Khoa học đâu có thể giải thích được đâu
common_voice_vi_24105959.mp3,chúng ta đang chuẩn bị thi lên cấp cơ mà
common_voice_vi_24398925.mp3,Mẹ ơi
common_voice_vi_23848877.mp3,hay là nói được câu nào cả
common_voice_vi_24398298.mp3,Phải Đóng cửa lại cho con nó ngủ
common_voice_vi_24855913.mp3,Người đàn ông không đáp
common_voice_vi_36461196.mp3,được đặt ở khắp mọi miền Việt Nam
common_voice_vi_40189718.mp3,Thời gian như là gió
common_voice_vi_27148751.mp3,"Dở dang hoài, dang dở, dở dang thôi"
common_voice_vi_24172621.mp3,mà nhiều câu hỏi tại sao
common_voice_vi_24280772.mp3,mục rữa
common_voice_vi_23926702.mp3,Vừa nghe thấy tên thì một anh chàng lực lưỡng bước ra
common_voice_vi_25092449.mp3,Không phải
common_voice_vi_42788788.mp3,Nghĩa là ghen quá đấy mà thôi
common_voice_vi_24124237.mp3,Một điều đáng lạ nữa đó chính là
common_voice_vi_24462271.mp3,Con bình tĩnh nghe người ta nói hết đi đã
common_voice_vi_31450192.mp3,Cô nói sao bà dã Quỳ bà len đã chết
common_voice_vi_30651248.mp3,Yêu loài hoa và một thời khờ dại
common_voice_vi_23988465.mp3,Những bài thơ về động vật cho bé mầm non
common_voice_vi_42788680.mp3,"Chi hắn cũng ăn, thiệt đúng là ăn dộng tộng chứa"
common_voice_vi_24362975.mp3,Quả nhiên cánh cửa nơi phòng thờ kuman đang bị hé mở
common_voice_vi_23848861.mp3,cản ơn đã giúp tôi
common_voice_vi_31450128.mp3,Muốn ngỏ lời mà sao tôi thật ngốc
common_voice_vi_24362928.mp3,Giống cái chỗ này thôi chứ không phải là đây
common_voice_vi_24124222.mp3,Từng ngày băn khoăn
common_voice_vi_23423360.mp3,Nhất là con Hạ
common_voice_vi_23933077.mp3,"Rồi thế này thế nọ, nói chuyện vô"
common_voice_vi_24122471.mp3,Cái đồng hồ báo đến giờ cho kuman ăn như mọi ngày
common_voice_vi_40249378.mp3,con yêu bố mẹ
common_voice_vi_24358694.mp3,Cứ hoài bâng khuâng
common_voice_vi_24121867.mp3,Tôi cũng đã phải ghi lại những tấm hình không chỉ về thiên nhiên
common_voice_vi_23926823.mp3,Tôi vẫn đi bên cạnh cuộc đời
common_voice_vi_25226009.mp3,"Sáng ngày mai, tuổi mới thật bình an."
common_voice_vi_21833349.mp3,Muôn vàng tấc đất
common_voice_vi_28075854.mp3,Chỉ cần mày với tao vẫn làm bạn là được
common_voice_vi_40249474.mp3,"Mồ hôi của A Hội nhễ nhại, ướt đẫm cả áo"
common_voice_vi_27641334.mp3,Nhưng Xem chừng anh lại ngại
common_voice_vi_25721782.mp3,"Về ngồi đây, trái tim nghe gõ cửa"
common_voice_vi_24362855.mp3,Không Anh chỉ tin nóng quá trình cả
common_voice_vi_24142072.mp3,Không thể mở thành lời
common_voice_vi_25721865.mp3,Liu riu róc rách giọt sầu mênh mông
common_voice_vi_23926842.mp3,Trong phòng tiếng rên của trinh mỗi lúc một lớn khát dục hơn
common_voice_vi_24173166.mp3,Mày còn lảng vảng ở đây để phá tao sao
common_voice_vi_21833241.mp3,kịch nghệ
common_voice_vi_24121899.mp3,Đời này có ai
common_voice_vi_24124251.mp3,Sư trụ trì khẽ dừng tay niệm
common_voice_vi_25092513.mp3,Nhưng mà tôi được người ta nhờ vả
common_voice_vi_23930635.mp3,Hồn của con bé không thể về nhà được
common_voice_vi_24106485.mp3,cánh cửa phòng thờ kumanthong vẫn đóng
common_voice_vi_23933009.mp3,Chú thích
common_voice_vi_24467768.mp3,còn đối với kumanthong thì thứ cần được tưới là sự quan tâm
common_voice_vi_24124142.mp3,Cuối cùng hà ni chọn giải pháp giữ im lặng
common_voice_vi_42788775.mp3,Bất cứ câu gì
common_voice_vi_25092662.mp3,Hôm nay Bé Na của mẹ ăn ngon thế
common_voice_vi_42787955.mp3,Khiến cho Tinh nổi da gà
common_voice_vi_21833213.mp3,Buồn thế chứ
common_voice_vi_43303936.mp3,Nói chạ chạ lát lát bơ bị người ta đánh
common_voice_vi_42788681.mp3,Nhưng do có nhiều chuyện nên bán nhà đó để mua nơi khác
common_voice_vi_25950212.mp3,Tháng mười tưởng xa lắm.
common_voice_vi_24425843.mp3,tôi tin
common_voice_vi_42788056.mp3,mẹ thảo đáp
common_voice_vi_25226345.mp3,Trình chỉ dừng lại khi bàn tay của cô ướt sũng nước nhờn
common_voice_vi_23930687.mp3,Bảo rằng hoa dáng như tim vỡ
common_voice_vi_23725607.mp3,"Trời ơi con gái của tôi, sao con lại khổ như vậy chứ"
common_voice_vi_24280780.mp3,Đêm đó em nằm chập chờn ngủ thì nghe tiếng gọi
common_voice_vi_24358652.mp3,Nếu mà chuyện ma quỷ là có thật
common_voice_vi_25724416.mp3,Tháng mười một Đông sang rồi em đó
common_voice_vi_24122379.mp3,Toàn bộ phần đầu của Thảo bị nghiền nát
common_voice_vi_34008839.mp3,Đây là phòng dành cho khách này
common_voice_vi_28426297.mp3,"Tháng mười rồi, lành lạnh gió đông qua"
common_voice_vi_27618804.mp3,Anh đón chờ tháng mười một vừa trao
common_voice_vi_25092505.mp3,Bố của Thảo liền lắc đầu nói
common_voice_vi_23392041.mp3,Tiểu sử và sự nghiệp
common_voice_vi_42788342.mp3,Cũng vì con phải mưu sinh
common_voice_vi_24280836.mp3,Nhưng hôm nay Trinh mới được tận mắt chứng kiến
common_voice_vi_23848881.mp3,Trinh khẽ cười rồi nói
common_voice_vi_24012749.mp3,thấy gia đình nó bảo là mới tỉnh lại đêm qua
common_voice_vi_42787935.mp3,Trong nhà của Trinh liên tiếp có những tiếng động
common_voice_vi_24425853.mp3,tháng mười một sương muối
common_voice_vi_24121944.mp3,ta nói rồi
common_voice_vi_24331624.mp3,Sao nó vẫn về được nhà con thanh
common_voice_vi_24358805.mp3,hôm đấy em chạy qua thấy mọi người xúm lại gần đó
common_voice_vi_25723486.mp3,Môi vẫn thắm gọi thuyền quyên về bến.
common_voice_vi_24125566.mp3,Đó là một phòng tập thể hình
common_voice_vi_24162821.mp3,Trợ giúp
common_voice_vi_22714942.mp3,con chào mẹ
common_voice_vi_27982297.mp3,Gửi theo gió đến ai nơi xa ấy.
common_voice_vi_23930590.mp3,Ngày mai vợ ông Hà là có đứa trẻ con chết đuối
common_voice_vi_24358777.mp3,Cảm ơn anh đã trăn trở êm đềm
common_voice_vi_24304444.mp3,Những cánh mai gầy
common_voice_vi_24174159.mp3,Chẳng biết từ khi nào mà chinh chỉ muốn quân là của riêng mình
common_voice_vi_24173252.mp3,Chúng tôi ở đây tầm khoảng một tuần
common_voice_vi_23406199.mp3,mày cứ về thế này tao không có ngủ được
common_voice_vi_30946535.mp3,Khe khẽ
common_voice_vi_21824030.mp3,Ở cái nơi rừng thiêng nước độc này
common_voice_vi_24125784.mp3,Nhưng tôi yêu em ở những điều ngược lại
common_voice_vi_24304437.mp3,Nhưng mà thật không ngờ sau một đêm
common_voice_vi_22402440.mp3,Cứ đi đi
common_voice_vi_23930762.mp3,Tình mẹ biển nước
common_voice_vi_23936343.mp3,bà thản nhiên đứng dậy đi ra ngoài
common_voice_vi_24227462.mp3,Song trai gật đầu
common_voice_vi_24144220.mp3,Ông ta đặt một nhánh Hoa Dã Quỳ nằm dưới đất rồi bảo
common_voice_vi_24455833.mp3,Hay làm nghề rừng Như Hầu hết thanh niên xứ này
common_voice_vi_23847795.mp3,chúng ta vẫn còn trẻ
common_voice_vi_24122213.mp3,hôi thối
common_voice_vi_24142075.mp3,Alo anh xăm trai phải không ạ
common_voice_vi_25132226.mp3,Vượt trên tất cả
common_voice_vi_23423392.mp3,sự mất mát
common_voice_vi_24122297.mp3,mẹ em cũng Kể cho bố mẹ Thảo nghe chuyện tối qua
common_voice_vi_24855910.mp3,Nhất là khi nhìn vào con búp bê đó
common_voice_vi_24425801.mp3,Báo công an cho cho bắt nhốt hết vào trong tù kia kìa
common_voice_vi_24456153.mp3,Nếu như còn khiến cho người đàn ông này yêu mẹ
common_voice_vi_24362755.mp3,Như thế thì mới đúng
common_voice_vi_41912734.mp3,Tay gối đầu anh nghĩ chuyện vẩn vơ
common_voice_vi_24012782.mp3,Và đỏ như màu máu thắm pha
common_voice_vi_24227598.mp3,Anh cũng vô tình có hiểu nổi em đâu
common_voice_vi_24121969.mp3,Đi vào xem tất cả mọi thứ vẫn bình thường
common_voice_vi_25217883.mp3,đang nhớ lại chuyện cũ
common_voice_vi_23926809.mp3,Câu chuyện có tựa đề là Ma ở vùng núi Tây Bắc
common_voice_vi_25950222.mp3,Bài viết liên quan
common_voice_vi_23406206.mp3,Tóm lại em thà tin còn hơn là không tin
common_voice_vi_24457641.mp3,Anh chàng bắt đầu hốt hoảng
common_voice_vi_23848894.mp3,Hai người gặp nhau sau đám tang của mẹ quân
common_voice_vi_24362800.mp3,Thua thầy một vạn không bằng kém bạn một li
common_voice_vi_22402656.mp3,Hai chiếc dép kia gặp nhau tự bao giờ
common_voice_vi_24012750.mp3,Nó với cái Nhi ngày xưa là thân nhau lắm
common_voice_vi_42787958.mp3,Bây giờ con lớn đi xa
common_voice_vi_25261523.mp3,chịu khó học hành thi cử
common_voice_vi_42788692.mp3,Hà Ni lắc đầu
common_voice_vi_24358760.mp3,kèm theo bên cạnh có một hình trái tim màu đỏ
common_voice_vi_23988527.mp3,Một khi đã liên kết với nó
common_voice_vi_23078574.mp3,Tôi chờ người đến với yêu thương
common_voice_vi_24124119.mp3,Khóe léo bày biện trên bàn thờ ni Kuman
common_voice_vi_24363076.mp3,Có vẻ sáng hơn mọi ngày
common_voice_vi_23988547.mp3,Thảy đều lần lượt
common_voice_vi_24455813.mp3,Trời đã sáng lên hẳn
common_voice_vi_24363048.mp3,Có khi nào nó nhắc tới chuyện này không mẹ
common_voice_vi_31450179.mp3,Nếu biết rằng sẽ chẳng gặp lại nhau
common_voice_vi_24162872.mp3,tước đi mạng sống
common_voice_vi_28541056.mp3,Cho muôn cây cỏ màu xanh tuyệt vời!
common_voice_vi_24304412.mp3,Trong căn phòng chẳng có một ai
common_voice_vi_24152646.mp3,một tay bị gãy phải bó bột
common_voice_vi_23926935.mp3,Chinh ngay lập tức nghĩ đến một việc
common_voice_vi_24226309.mp3,Hay là đợi tuần bốn mươi chín của con thảo
common_voice_vi_24274720.mp3,Thảo vẫn không nhìn em
common_voice_vi_24304434.mp3,Nâng từng chiếc túi lên
common_voice_vi_27648100.mp3,Khẽ thì thầm trao nụ hôn ngây dại
common_voice_vi_24425846.mp3,kẻ tội đồ
common_voice_vi_25132381.mp3,Vừa nghe thấy tên thì một anh chàng lực lưỡng bước ra
common_voice_vi_25154475.mp3,Mẹ còn dọn dẹp
common_voice_vi_24331630.mp3,Tao không có chạy được mày giúp tao đi
common_voice_vi_25265293.mp3,Anh đang quay trở lại làm việc trinh cũng biết mà
common_voice_vi_28540565.mp3,"Tháng mười về, hương xưa rơi đầy áo"
common_voice_vi_25132883.mp3,Đang khẽ vuốt ve chiếc lọ thủy tinh một cách ân cần
common_voice_vi_42723043.mp3,Khiếp lắm mày ơi
common_voice_vi_25132172.mp3,Tại sao
common_voice_vi_22402377.mp3,Thơ tình cuối mùa thu
common_voice_vi_25722009.mp3,Đủ cho lúa chín vàng.
common_voice_vi_24358786.mp3,Thời gian này Thoải mái và tự do
common_voice_vi_23901121.mp3,Nước chảy trên sông
common_voice_vi_27615280.mp3,Nên ngưng ngang câu chuyện
common_voice_vi_23988461.mp3,chú liền nói
common_voice_vi_24814572.mp3,Đám kia thì về nhả tiếp khách
common_voice_vi_25132227.mp3,Hà giật mình nổi gai ốc
common_voice_vi_24362754.mp3,Em đã chẳng hẹn nhau đêm ấy nữa
common_voice_vi_24467863.mp3,Mặt trời nhấp nhô qua ngọn núi
common_voice_vi_25092579.mp3,Còn gì đau đớn hơn hình ảnh một người đàn ông
common_voice_vi_23930632.mp3,Để cho hai đứa lâm li cõi tình!
common_voice_vi_24088124.mp3,với nhiều tác phẩm viết bằng tiếng Việt
common_voice_vi_24125757.mp3,Niềm vui sướng trong ta là có thật
common_voice_vi_25092496.mp3,Hay là thôi mùa đừng thay lá
common_voice_vi_26424933.mp3,Trên thảm cỏ mấy hạt còn chưa nở
common_voice_vi_23988519.mp3,Thảo đáp mà không cần nhìn em
common_voice_vi_24467776.mp3,Bước xuống cầu thang Trinh mơ hồ
common_voice_vi_42788082.mp3,Chồng tôi cúi gằm mặt lí nhí nói
common_voice_vi_42788243.mp3,Cánh cửa trúc ập xuống cái đùng
common_voice_vi_23901408.mp3,Ông bà tao ngày ấy thì sợ lắm
common_voice_vi_24362841.mp3,Đời vô tình nghiệt ngã
common_voice_vi_31450079.mp3,Thu chưa qua nắng đã nhợt phai mầu
common_voice_vi_26976787.mp3,Chút se lạnh cũng thấy lòng man mác
common_voice_vi_24358789.mp3,Nhà chị đến tìm tôi có đúng không
common_voice_vi_24227690.mp3,Thực ra lúc nghe chuyện
common_voice_vi_40191807.mp3,Những anh em dân tộc khác thì rất hiếu khách và cởi mở
common_voice_vi_25154503.mp3,mặt của mày tao lạ gì mà phải sợ chứ
common_voice_vi_25132652.mp3,Thứ mà trình tin rằng nó sẽ đem quần về với cô
common_voice_vi_27655606.mp3,Hà ni giật bắn người
common_voice_vi_23988908.mp3,Hãy cố giữ gìn
common_voice_vi_23926707.mp3,giờ chỗ ấy người ta vẫn có cái bát hương đấy
common_voice_vi_23936356.mp3,Nó nghĩ mình đang nằm mơ rồi chìm lại vào trong giấc ngủ
common_voice_vi_24227503.mp3,Ông đồng thời cũng là nhà văn
common_voice_vi_28440701.mp3,Ru tôi ngọn gió trang đài
common_voice_vi_24363067.mp3,"Hãy sát đôi đầu, hãy kề đôi ngực!"
common_voice_vi_25721921.mp3,Thôi em ơi chẳng thể nào mặc cả
common_voice_vi_24226200.mp3,Làm bao chuyện lạ
common_voice_vi_25092417.mp3,Với Trinh cùng những người bạn cùng trang lứa
common_voice_vi_24388750.mp3,Phương cũng cười rồi đáp
common_voice_vi_24173725.mp3,Cách sửa lỗi camera trên Snapchat không hoạt động
common_voice_vi_27716264.mp3,Nhưng tất cả chỉ là sự vô thức
common_voice_vi_23930610.mp3,Hay là thôi mùa đừng thay lá
common_voice_vi_24425832.mp3,Trăm nghe không bằng một thấy.
common_voice_vi_23926756.mp3,Từ những tưởng là mấy của bé đi rồi
common_voice_vi_24226534.mp3,Tối đó khi trở về nhà trinh vui mừng hét lớn
common_voice_vi_24172988.mp3,Đã yên ngày thác lũ.
common_voice_vi_25132169.mp3,Hôm nay có người báo tin Phương đã tỉnh lại
common_voice_vi_31250049.mp3,Để cho môi ngọt thắm thêm anh à
common_voice_vi_23988497.mp3,Thời kỳ ở Liên Xô lần thứ hai
common_voice_vi_40191847.mp3,Tất cả cái giá không hề rẻ
common_voice_vi_27640334.mp3,Gọi một chiếc xe thồ cô hỏi
common_voice_vi_25202224.mp3,sự dằn vặt
common_voice_vi_23926703.mp3,chết đi con khốn
common_voice_vi_24388761.mp3,Giờ bạn bè thi có mỗi mình mày là khá nhất
common_voice_vi_28565014.mp3,Anh vào trong khám phá đến tanh bành
common_voice_vi_23930578.mp3,Không gian về đêm im lặng như tờ
common_voice_vi_42788026.mp3,Mấy đứa con gái thì vui mừng
common_voice_vi_24106392.mp3,là nhà cách mạng
common_voice_vi_42696078.mp3,đang hớn hỏ vì nghĩ đây là cuộc gọi của Quân
common_voice_vi_24317963.mp3,càng nghe chinh nói như vậy
common_voice_vi_23695847.mp3,Các bình chọn của Tuần báo Time
common_voice_vi_24274298.mp3,Còn hơn cả họ hàng thân thiết
common_voice_vi_24172775.mp3,Gió thổi rì rào
